effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),-0.0908628240800953,0.10932824295379759,-0.3083085017072286,0.1274747912410956
fixed,cond,NA,X_c,0.047047876240404095,0.10909145498015171,-0.16459002746085086,0.26649216141109816
fixed,cond,NA,X_k,0.01644367997468819,0.16259082942124764,-0.3101459300618951,0.3273552585341637
fixed,cond,NA,X_c:X_k,0.03387790134715676,0.18524095512305302,-0.3190608681870522,0.395956332473246
ran_pars,cond,item_id,sd__(Intercept),0.6357228978848946,0.05135495922406514,0.5412613178897319,0.7404325398744058
ran_pars,cond,item_id,sd__X_c,0.5774505946181048,0.05660233505066676,0.4725517302261854,0.6963695489251361
ran_pars,cond,subj_id,sd__(Intercept),0.5601293541864254,0.06938798329195382,0.44560104706021264,0.7126792700348505
ran_pars,cond,subj_id,sd__X_c,0.5436420024632128,0.07490137046644356,0.41457090508485805,0.7053292774091751
ran_pars,cond,subj_id,sd__X_k,0.5750607700663026,0.07912156700510707,0.44127995655786634,0.7500979099026418
ran_pars,cond,subj_id,sd__X_c:X_k,0.8045202093762583,0.12043386844014764,0.5912414678457989,1.069149103922143
ran_pars,cond,item_id,cor__(Intercept).X_c,0.02027318167458718,0.12714415901650708,-0.22656468839678084,0.2696025080051633
ran_pars,cond,subj_id,cor__(Intercept).X_c,0.24307626387673334,0.16316153129933722,-0.09601283285096114,0.556028925003445
ran_pars,cond,subj_id,cor__(Intercept).X_k,-0.28567821665531024,0.1589451084727202,-0.5729429823819828,0.040073165487251546
ran_pars,cond,subj_id,cor__X_c.X_k,-0.12517970115072893,0.1753561292462125,-0.4522578634953669,0.21941945829103304
ran_pars,cond,subj_id,cor__(Intercept).X_c:X_k,-0.12809438326291367,0.17902062765363783,-0.46964249580892176,0.22690758323074306
ran_pars,cond,subj_id,cor__X_c.X_c:X_k,-0.11937702564014835,0.17762912082736837,-0.4495809526535144,0.24962598824558155
ran_pars,cond,subj_id,cor__X_k.X_c:X_k,0.18921638422645498,0.17828983831296333,-0.1747109901549468,0.5108809630184841
fixed,cond,NA,(Intercept),0.11602486808652096,0.11917702795800249,-0.12054448090712998,0.34326884949647973
fixed,cond,NA,X_c,-0.06974709774766456,0.09889010060228025,-0.2706379890131781,0.11987699665257875
fixed,cond,NA,X_k,-0.24285851672971728,0.15466832351440377,-0.5657597936900237,0.06130377515695725
fixed,cond,NA,X_c:X_k,-0.017619201749811797,0.14498020831141567,-0.30655309869284875,0.26878328780429805
ran_pars,cond,item_id,sd__(Intercept),0.5499829064110948,0.04399171149597362,0.47153622198853085,0.6410581486215525
