Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(X_c)-(0.0) = 0,0.047047876240404095,0.10909145498015171,-0.16459002746085094,0.26649216141109816,NA,NA,
(X_k)-(0.0) = 0,0.01644367997468819,0.16259082942124764,-0.3101459300618951,0.3273552585341637,NA,NA,
(X_c:X_k)-(0.0) = 0,0.03387790134715676,0.18524095512305302,-0.3190608681870522,0.395956332473246,NA,NA,
(X_c)-(0.0) = 0,-0.06974709774766456,0.09889010060228025,-0.27063798901317815,0.11987699665257875,NA,NA,
(X_k)-(0.0) = 0,-0.24285851672971728,0.15466832351440377,-0.5657597936900236,0.06130377515695725,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.017619201749811797,0.14498020831141567,-0.3065530986928488,0.26878328780429805,NA,NA,
(X_c)-(0.0) = 0,-0.1822114822385512,0.11965721429693266,-0.4147395548618135,0.061445686906654154,NA,NA,
(X_k)-(0.0) = 0,0.11684441564395358,0.14568372542749847,-0.1566284525840177,0.4147530806290493,NA,NA,
(X_c:X_k)-(0.0) = 0,0.037161413267954024,0.16052970894503613,-0.2814694497357412,0.3675416328785209,NA,NA,
(X_c)-(0.0) = 0,-0.11303491576982651,0.12772673322415215,-0.37510392872213477,0.13436138453061924,NA,NA,
(X_k)-(0.0) = 0,0.18455778635020215,0.15642790164437015,-0.11085301184089963,0.502894298525666,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.043449309878590886,0.18507961143797957,-0.3936750493064061,0.31200068342676557,NA,NA,
(X_c)-(0.0) = 0,-0.012852325883875781,0.13333478686137798,-0.2746130179316254,0.2509316152096554,NA,NA,
(X_k)-(0.0) = 0,-0.18502861264491255,0.1421738309577452,-0.46445699994413314,0.09584403379327781,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.18841606758784044,0.1651875668272556,-0.5105336063101233,0.12856624168956607,NA,NA,
(X_c)-(0.0) = 0,-0.10787413739257087,0.13661250479121392,-0.3742452614710283,0.15737453809527185,NA,NA,
(X_k)-(0.0) = 0,-0.20531675898975896,0.16839078096042245,-0.5361596283043463,0.13357895350304216,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.17459799662791856,0.1644446080843098,-0.49017911030962197,0.14467072643336853,NA,NA,
(X_c)-(0.0) = 0,0.09235321237113367,0.10816200728424843,-0.12170047247830572,0.2996270947367893,NA,NA,
(X_k)-(0.0) = 0,0.15296253062595408,0.16237617668834603,-0.16057779094097988,0.47003307714711,NA,NA,
