term,estimate,std.error
b_Intercept,-0.07096646703793195,0.014168299117398373
b_X_c,0.04404240103700746,0.028898485499196415
b_X_k,0.010685723183722079,0.028299862934546706
b_X_c:X_k,-0.014064637932127054,0.05558571629156086
lprior,-1.9177167082394262,2.16896233591526e-4
b_Intercept,0.0784478367498622,0.014166304872966693
b_X_c,-0.056179789115086615,0.02780178946257949
b_X_k,-0.1792911919975526,0.02776419245800755
b_X_c:X_k,0.021233220427965417,0.05692597826976651
lprior,-1.9178359071918574,2.3886516628207077e-4
b_Intercept,0.02521332768478297,0.014070469752476684
b_X_c,-0.14544549428742354,0.028236425896243558
b_X_k,0.1031761194119455,0.028743687770754558
b_X_c:X_k,0.03409766373336884,0.055627867290479326
lprior,-1.91724772408513,7.932774627210979e-5
b_Intercept,0.026690091488082823,0.013967818600732365
b_X_c,-0.0823365046281033,0.027170389882215918
b_X_k,0.15012636333735252,0.027911300379166466
b_X_c:X_k,-0.030864243379700673,0.05768944910175771
lprior,-1.9172555652258616,8.611120244084314e-5
b_Intercept,0.015413921855519732,0.014089435756685427
b_X_c,0.0016141654164981553,0.027730075358559696
b_X_k,-0.1350020349883398,0.027856139682576646
b_X_c:X_k,-0.1484513310593038,0.056913014048099723
lprior,-1.9172065294421823,5.374093306937567e-5
b_Intercept,-0.22602422303959435,0.0141758408707391
b_X_c,-0.05833619508865393,0.028891924831849446
b_X_k,-0.12118352878613303,0.028716803158694647
b_X_c:X_k,-0.15045164430756142,0.05599385593625869
lprior,-1.9226214459090996,6.806227940557065e-4
b_Intercept,0.10825710703664912,0.014372565688036083
b_X_c,0.056694210786636536,0.02823326875496964
b_X_k,0.08827479834116833,0.028614838091706875
b_X_c:X_k,0.14529059803086763,0.05606892298656434
lprior,-1.918429281776565,3.3406347351995264e-4
b_Intercept,0.0070037126281383595,0.01374842492292711
b_X_c,-0.07673526346830303,0.0276205599271975
b_X_k,-0.05651223843441654,0.02880459078789049
b_X_c:X_k,-0.10346545578093236,0.05508863725187046
lprior,-1.9171910375888075,3.7392068477180866e-5
b_Intercept,-0.11769598620455893,0.014157543032619829
b_X_c,0.09053545158314281,0.02817446085143249
b_X_k,-0.040396865249577224,0.027059148737097114
b_X_c:X_k,-0.011607510464011267,0.05629800130155199
lprior,-1.918656619438046,3.585781827540217e-4
b_Intercept,-0.0153751476021989,0.014105317101019988
b_X_c,0.1761766640362562,0.027328945391977912
b_X_k,0.07292856566517279,0.028808009607946453
b_X_c:X_k,-0.06853336470089783,0.055494411138021324
lprior,-1.9172063540447921,5.650720432692432e-5
b_Intercept,-0.099503698418998393,0.013983751210401811
b_X_c,0.0664384208826464,0.027900931704195442
b_X_k,-0.1362638962784356,0.028072927473195213
b_X_c:X_k,0.19004444613501079,0.05644792074612048
lprior,-1.9182354079315425,2.9694927397007375e-4
b_Intercept,0.007906042914177392,0.013876075859081264
b_X_c,0.03104624475599104,0.028441865769144623
b_X_k,0.17101789260433686,0.028100413385700577
b_X_c:X_k,-0.18272544581108496,0.057854010543144554
lprior,-1.9171925851253275,3.691520780501309e-5
b_Intercept,-0.13009787029652714,0.014330969666424274
b_X_c,-0.03936197012524542,0.028850845446313344
b_X_k,0.038374337427617755,0.028539312393236583
b_X_c:X_k,-0.1640887032513606,0.05567204444475331
lprior,-1.9189841491149267,3.999919055857765e-4
b_Intercept,0.21652739054020526,0.013857584490727081
b_X_c,-0.08053818377197149,0.028555366305367313
b_X_k,0.006782786298551911,0.02848421637792495
b_X_c:X_k,0.12252228032023507,0.05653675908633299
lprior,-1.922174311297602,6.383713143083398e-4
b_Intercept,-0.0632850124371807,0.014278122309373174
b_X_c,0.021005649709920193,0.027200965758196693
b_X_k,-0.12370795980142582,0.028133854740017575
b_X_c:X_k,0.04921866534571705,0.056935083618731105
lprior,-1.9176067351398682,1.9573404140571518e-4
b_Intercept,-0.14442526492609728,0.013999034742134441
b_X_c,0.12151030351289396,0.028338869375736698
b_X_k,-0.0857033598469781,0.028023526822563233
b_X_c:X_k,0.035417282184504635,0.054946366062915745
lprior,-1.9194032682787876,4.3301113753753433e-4
b_Intercept,-0.09907241932526001,0.0141138740781885
b_X_c,-0.09130951784489798,0.027383534482647815
b_X_k,0.06293180654217043,0.027820920146786714
b_X_c:X_k,-0.043886725392374065,0.05563408300406969
lprior,-1.9182262776122814,3.0071402117809145e-4
b_Intercept,0.08903227121964145,0.01434833364297718
b_X_c,0.02576966939067587,0.028503069180635124
b_X_k,-0.00434595993187569,0.028103379744049483
b_X_c:X_k,-0.22393126654295042,0.05629422625302148
lprior,-1.918024922323077,2.760122019828574e-4
b_Intercept,-0.03869771426894063,0.01417579926669211
b_X_c,-0.010501135824254923,0.028193889471820936
b_X_k,-0.023445378096795394,0.02824180459613613
b_X_c:X_k,0.19582992013175105,0.05677051964272184
lprior,-1.9173393098488898,1.1929524535393303e-4
b_Intercept,-0.061462021523717145,0.014140504131162992
b_X_c,0.11300320679276302,0.028514262502645316
b_X_k,-0.03593724242688675,0.028603232824953324
b_X_c:X_k,0.2083830129598992,0.05702918731448115
lprior,-1.9175824827894599,1.8986620879675825e-4
b_Intercept,0.08359241131188508,0.014163358508437826
b_X_c,-0.07121630559010111,0.028381568221467025
b_X_k,0.015759277890644054,0.02765429352227603
b_X_c:X_k,0.056883569696056124,0.057281782495888625
lprior,-1.9179247963904174,2.5406554988928866e-4
b_Intercept,-0.020607476224602714,0.014134957483217149
b_X_c,-0.06461735988973527,0.028621737429041325
b_X_k,0.14142753957113655,0.027678614144439017
b_X_c:X_k,-0.24091144259846836,0.05374103284710912
lprior,-1.9172249874846252,7.027141805680805e-5
b_Intercept,-0.08354405130017237,0.014322422788245725
b_X_c,0.05371063054010859,0.028072367187693896
b_X_k,0.011342289076765428,0.02795860258028208
b_X_c:X_k,0.027634274092742404,0.05549270945443687
lprior,-1.9179239345394208,2.554364346723435e-4
