Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(X_c)-(0.0) = 0,0.04470852879854593,0.028898485499196415,-0.009960966694481979,0.10190560741679307,NA,NA,
(X_k)-(0.0) = 0,0.010478294849982741,0.028299862934546706,-0.045712460232649965,0.06527620404794386,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.013916219029907079,0.05558571629156086,-0.12307899155759836,0.09675224954232091,NA,NA,
(X_c)-(0.0) = 0,-0.0561924090425996,0.02780178946257949,-0.11048264733921198,-0.0011764886219189695,NA,NA,*
(X_k)-(0.0) = 0,-0.17919810362179692,0.02776419245800755,-0.2339188512505533,-0.12407820867352519,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.02207319878557822,0.05692597826976651,-0.08742707373957977,0.13344378589268288,NA,NA,
(X_c)-(0.0) = 0,-0.14578804686498742,0.028236425896243558,-0.20011250523086896,-0.09046375519374662,NA,NA,*
(X_k)-(0.0) = 0,0.1035674408881664,0.028743687770754558,0.04725157534019665,0.16015231144751405,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.03293268343371146,0.055627867290479326,-0.07787654665329492,0.14240746379659117,NA,NA,
(X_c)-(0.0) = 0,-0.08263318663589876,0.027170389882215918,-0.13452659403786937,-0.03013371528598747,NA,NA,*
(X_k)-(0.0) = 0,0.15011231914553966,0.027911300379166466,0.0940155956131582,0.20420408044300103,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.031244586548945342,0.05768944910175771,-0.14328750505461377,0.08128990096986818,NA,NA,
(X_c)-(0.0) = 0,0.0016623625429225864,0.027730075358559696,-0.05245357841644251,0.05663625006633398,NA,NA,
(X_k)-(0.0) = 0,-0.13489430065509547,0.027856139682576646,-0.1887005167865788,-0.08225843523380305,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.14812393364356335,0.056913014048099723,-0.2577796246628414,-0.03745551098394127,NA,NA,*
(X_c)-(0.0) = 0,-0.058389357339200795,0.028891924831849446,-0.11587259743597252,-0.0023660083830824375,NA,NA,*
(X_k)-(0.0) = 0,-0.12111605870896962,0.028716803158694647,-0.17684426279682453,-0.06377605665140407,NA,NA,*
(X_c:X_k)-(0.0) = 0,-0.15092522750035978,0.05599385593625869,-0.25805081024643856,-0.03993217249088327,NA,NA,*
(X_c)-(0.0) = 0,0.05706208324480039,0.02823326875496964,0.0014340214768094705,0.11245720013460977,NA,NA,*
(X_k)-(0.0) = 0,0.08845485128759896,0.028614838091706875,0.032105168851910365,0.14474817654879393,NA,NA,*
(X_c:X_k)-(0.0) = 0,0.14516113285146698,0.05606892298656434,0.03590167120878156,0.25511738589908456,NA,NA,*
(X_c)-(0.0) = 0,-0.07636961234891233,0.0276205599271975,-0.12929912523524045,-0.02340870667267498,NA,NA,*
(X_k)-(0.0) = 0,-0.056734022949570015,0.02880459078789049,-0.11310128483676463,0.0012816821609062002,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.10282451251017595,0.05508863725187046,-0.21458853573660802,0.004423684272403359,NA,NA,
(X_c)-(0.0) = 0,0.09036452772251831,0.02817446085143249,0.03479314805816996,0.1441674815004673,NA,NA,*
(X_k)-(0.0) = 0,-0.040215100885722214,0.027059148737097114,-0.09406536883665677,0.011168499174997132,NA,NA,
(X_c:X_k)-(0.0) = 0,-0.012168834306012823,0.05629800130155199,-0.12152068100536319,0.09841840026689742,NA,NA,
