subj_id,cr,fa,hit,miss,zhr,zfa,dprime,crit
S01,26,74,31,69,-0.495850347,0.643345405,-1.139195753,-0.643345405
S02,48,52,51,49,0.025068908,0.050153583,-0.025084675,-0.050153583
S03,59,41,44,56,-0.150969215,-0.227544977,0.076575761,0.227544977
S04,61,39,33,67,-0.439913166,-0.279319034,-0.160594131,0.279319034
S05,48,52,68,32,0.467698799,0.050153583,0.417545216,-0.050153583
S06,88,12,13,87,-1.126391129,-1.174986792,0.048595663,1.174986792
S07,54,46,85,15,1.036433389,-0.100433721,1.13686711,0.100433721
S08,61,39,51,49,0.025068908,-0.279319034,0.304387943,0.279319034
S09,36,64,76,24,0.706302563,0.358458793,0.34784377,-0.358458793
S10,33,67,60,40,0.253347103,0.439913166,-0.186566063,-0.439913166
S11,44,56,71,29,0.55338472,0.150969215,0.402415504,-0.150969215
S12,32,68,40,60,-0.253347103,0.467698799,-0.721045902,-0.467698799
S13,61,39,45,55,-0.125661347,-0.279319034,0.153657688,0.279319034
S14,75,25,39,61,-0.279319034,-0.67448975,0.395170716,0.67448975
S15,52,48,47,53,-0.075269862,-0.050153583,-0.025116279,0.050153583
S16,47,53,62,38,0.305480788,0.075269862,0.230210926,-0.075269862
S17,91,9,20,80,-0.841621234,-1.340755034,0.4991338,1.340755034
S18,60,40,32,68,-0.467698799,-0.253347103,-0.214351696,0.253347103
S19,73,27,29,71,-0.55338472,-0.612812991,0.059428271,0.612812991
S20,53,47,42,58,-0.201893479,-0.075269862,-0.126623617,0.075269862
S21,88,12,20,80,-0.841621234,-1.174986792,0.333365558,1.174986792
S22,46,54,24,76,-0.706302563,0.100433721,-0.806736283,-0.100433721
S23,76,24,35,65,-0.385320466,-0.706302563,0.320982096,0.706302563
S24,31,69,64,36,0.358458793,0.495850347,-0.137391554,-0.495850347
S25,45,55,48,52,-0.050153583,0.125661347,-0.17581493,-0.125661347
S26,44,56,40,60,-0.253347103,0.150969215,-0.404316319,-0.150969215
S27,50,50,38,62,-0.305480788,0,-0.305480788,0
S28,46,54,35,65,-0.385320466,0.100433721,-0.485754187,-0.100433721
S29,44,56,50,50,0,0.150969215,-0.150969215,-0.150969215
S30,45,55,52,48,0.050153583,0.125661347,-0.075507763,-0.125661347
S31,21,79,62,38,0.305480788,0.806421247,-0.500940459,-0.806421247
S32,51,49,41,59,-0.227544977,-0.025068908,-0.202476068,0.025068908
S33,29,71,68,32,0.467698799,0.55338472,-0.08568592,-0.55338472
S34,44,56,58,42,0.201893479,0.150969215,0.050924264,-0.150969215
S35,27,73,58,42,0.201893479,0.612812991,-0.410919512,-0.612812991
S36,58,42,43,57,-0.176374165,-0.201893479,0.025519314,0.201893479
S37,23,77,43,57,-0.176374165,0.738846849,-0.915221014,-0.738846849
S38,46,54,58,42,0.201893479,0.100433721,0.101459759,-0.100433721
S39,81,19,40,60,-0.253347103,-0.877896295,0.624549192,0.877896295
S40,80,20,36,64,-0.358458793,-0.841621234,0.48316244,0.841621234
S01,37,63,73,27,0.612812991,0.331853346,0.280959645,-0.331853346
S02,53,47,65,35,0.385320466,-0.075269862,0.460590329,0.075269862
S03,21,79,84,16,0.994457883,0.806421247,0.188036636,-0.806421247
S04,11,89,63,37,0.331853346,1.22652812,-0.894674774,-1.22652812
S05,35,65,54,46,0.100433721,0.385320466,-0.284886746,-0.385320466
S06,24,76,84,16,0.994457883,0.706302563,0.28815532,-0.706302563
S07,69,31,27,73,-0.612812991,-0.495850347,-0.116962644,0.495850347
S08,49,51,81,19,0.877896295,0.025068908,0.852827387,-0.025068908
S09,46,54,58,42,0.201893479,0.100433721,0.101459759,-0.100433721
S10,19,81,63,37,0.331853346,0.877896295,-0.546042949,-0.877896295
S11,37,63,76,24,0.706302563,0.331853346,0.374449216,-0.331853346
S12,27,73,58,42,0.201893479,0.612812991,-0.410919512,-0.612812991
S13,44,56,76,24,0.706302563,0.150969215,0.555333347,-0.150969215
S14,51,49,31,69,-0.495850347,-0.025068908,-0.470781439,0.025068908
S15,52,48,71,29,0.55338472,-0.050153583,0.603538303,0.050153583
S16,86,14,9,91,-1.340755034,-1.080319341,-0.260435693,1.080319341
S17,36,64,60,40,0.253347103,0.358458793,-0.10511169,-0.358458793
S18,15,85,81,19,0.877896295,1.036433389,-0.158537094,-1.036433389
S19,38,62,58,42,0.201893479,0.305480788,-0.103587309,-0.305480788
S20,75,25,23,77,-0.738846849,-0.67448975,-0.064357099,0.67448975
S21,50,50,51,49,0.025068908,0,0.025068908,0
S22,68,32,33,67,-0.439913166,-0.467698799,0.027785633,0.467698799
S23,63,37,65,35,0.385320466,-0.331853346,0.717173813,0.331853346
S24,63,37,24,76,-0.706302563,-0.331853346,-0.374449216,0.331853346
S25,37,63,80,20,0.841621234,0.331853346,0.509767887,-0.331853346
S26,46,54,62,38,0.305480788,0.100433721,0.205047068,-0.100433721
S27,54,46,31,69,-0.495850347,-0.100433721,-0.395416627,0.100433721
S28,73,27,29,71,-0.55338472,-0.612812991,0.059428271,0.612812991
S29,63,37,42,58,-0.201893479,-0.331853346,0.129959867,0.331853346
S30,48,52,49,51,-0.025068908,0.050153583,-0.075222492,-0.050153583
S31,49,51,59,41,0.227544977,0.025068908,0.202476068,-0.025068908
S32,74,26,12,88,-1.174986792,-0.643345405,-0.531641387,0.643345405
S33,33,67,54,46,0.100433721,0.439913166,-0.339479445,-0.439913166
S34,56,44,62,38,0.305480788,-0.150969215,0.456450004,0.150969215
S35,77,23,29,71,-0.55338472,-0.738846849,0.18546213,0.738846849
S36,82,18,45,55,-0.125661347,-0.915365088,0.789703741,0.915365088
S37,30,70,68,32,0.467698799,0.524400513,-0.056701714,-0.524400513
S38,51,49,44,56,-0.150969215,-0.025068908,-0.125900307,0.025068908
S39,58,42,51,49,0.025068908,-0.201893479,0.226962387,0.201893479
S40,19,81,83,17,0.954165253,0.877896295,0.076268958,-0.877896295
S01,47,53,40,60,-0.253347103,0.075269862,-0.328616965,-0.075269862
S02,62,38,78,22,0.772193214,-0.305480788,1.077674002,0.305480788
S03,74,26,38,62,-0.305480788,-0.643345405,0.337864617,0.643345405
S04,29,71,44,56,-0.150969215,0.55338472,-0.704353935,-0.55338472
S05,67,33,42,58,-0.201893479,-0.439913166,0.238019687,0.439913166
S06,59,41,51,49,0.025068908,-0.227544977,0.252613885,0.227544977
S07,78,22,46,54,-0.100433721,-0.772193214,0.671759494,0.772193214
S08,51,49,44,56,-0.150969215,-0.025068908,-0.125900307,0.025068908
S09,75,25,21,79,-0.806421247,-0.67448975,-0.131931497,0.67448975
S10,74,26,62,38,0.305480788,-0.643345405,0.948826193,0.643345405
S11,58,42,46,54,-0.100433721,-0.201893479,0.101459759,0.201893479
S12,68,32,47,53,-0.075269862,-0.467698799,0.392428937,0.467698799
S13,52,48,51,49,0.025068908,-0.050153583,0.075222492,0.050153583
S14,48,52,54,46,0.100433721,0.050153583,0.050280137,-0.050153583
S15,68,32,30,70,-0.524400513,-0.467698799,-0.056701714,0.467698799
S16,45,55,25,75,-0.67448975,0.125661347,-0.800151097,-0.125661347
S17,49,51,63,37,0.331853346,0.025068908,0.306784438,-0.025068908
S18,35,65,53,47,0.075269862,0.385320466,-0.310050604,-0.385320466
S19,58,42,62,38,0.305480788,-0.201893479,0.507374267,0.201893479
S20,77,23,36,64,-0.358458793,-0.738846849,0.380388056,0.738846849
S21,52,48,45,55,-0.125661347,-0.050153583,-0.075507763,0.050153583
S22,69,31,61,39,0.279319034,-0.495850347,0.775169382,0.495850347
S23,42,58,82,18,0.915365088,0.201893479,0.713471609,-0.201893479
